id,language,headline,source,date ,frame
1,English ,Israel warns Gaza residents to flee homes ahead of revenge attacks,BBC,08/10/2023,Security and defense
2,English ,"Hamas attack shocks Israel, but what comes next?",BBC,08/10/2023,Security and defense
3,English ,"Death toll hits 1,000 in Israel and Gaza following Hamas attack",BBC,09/10/2023,Health and safety 
4,English ,Push for lifesaving access to Gaza as Israel cuts off power and supplies,BBC,12/10/2023,Health and safety 
5,English ,Hundreds of foreign nationals and injured leave Gaza as border finally opens,BBC,1/11/2023,Quality of life
6,English ,Israel denies striking Gaza hospital but says fighting happening around it,BBC,11/11/2023,Security and defense
7,English ,Gaza phone lines returning as Israel agrees limited fuel deliveries ,BBC,17/11/2023,Policy Prescription and Evaluation
8,English ,Young children and elderly among hostages back in Israel ,BBC,24/11/2023,"Law and Order, Crime and Justice"
9,English ,"Israeli strikes heaviest so far, say residents of south Gaza city ",BBC,02/12/2023,Security and defense
10,English ,"Gaza ceasefire chances shrinking, Qatar says",BBC,12/12/2023,Political
11,English ,US still has 'serious concerns' over UN Gaza vote,BBC,21/12/2023,External Regulation and Reputation
12,English ,"Netanyahu says israel paying ""heavy price"" for war",BBC,24/12/2023,Public opinion
13,English ,Hamas leader's assassination sparks wider war fears,BBC,04/01/2024,Security and defense
14,English ,Blinken: Cost of war on Gaza children far too high,BBC,10/01/2024,Health and safety 
15,English ,Israel in heavy south Gaza strikes as hostages sent medicine ,BBC,18/01/2024,Health and safety 
16,English ,Netanyahu orders military to plan Rafah evacuation ,BBC,09/02/2024,Security and defense
17,English ,Gaza aid drop: devastation after more than 100 reported killed,BBC,29/02/2024,Health and safety 
18,English ,"Seven hostages killed, Hamas says",BBC,02/03/0204,"Law and Order, Crime and Justice"
19,English ,Journalists injured in Gaza hospital air strike,BBC,31/03/2024,Health and safety 
20,English ,Pressure grows after Israel strike on charity staff,BBC,03/04/2024,External Regulation and Reputation
21,English ,IDF officers sacked over fatal aid worker attack ,BBC,05/04/2024,"Law and Order, Crime and Justice"
22,English ,Netanyahu vows to follow through with Rafah attack,BBC,30/04/2024,Security and defense
23,English ,Alarm in Israel at reports of possible ICC legal action over Gaza,BBC,03/05/2024,Constitutionality and Jurisprudence
24,English ,israel's rafah operation not a major offensive - US,BBC,28/05/2024,External Regulation and Reputation
25,English ,gaza ceasefire plan turns into deadly game of survival,BBC,04/06/2024,Health and safety 
26,English ,"""high risk"" of famine in gaza persists, new UN-backed report says",BBC,25/06/2024,Health and safety 
27,English ,air strike on gaza school kills at least 16 people,BBC,07/06/2024,Health and safety 
28,English ,hamas-run health ministry says 90 killed in israeli strike targeting military chief ,BBC,14/07/2024,Security and defense
29,English ,"Gaza release deal has to happen now, hostage's mother says",BBC,24/07/2024,Public opinion
30,English ,Casualties after third Israeli strike on school in a week,BBC,05/08/2024,Health and safety 
31,English ,"israeli strike in gaza kills more than 70, hospital head says",BBC,11/08/2024,Health and safety 
32,English ,Israel agrees to pause in fighting for polio vaccine drive,BBC,29/08/2024,Policy Prescription and Evaluation
33,English ,pause in fighting holds as gaza children get polio vaccine,BBC,01/09/2024,Health and safety 
34,English ,tens of thousands rally in israel calling for hostage release deal,BBC,02/09/2024,Public opinion
35,English ,netanyahu asks forgiveness over hostage deats as protests continue,BBC,03/09/2024,Public opinion
36,English ,israel marks year since hamas attack as fighting rages on multiple fronts,BBC,08/10/2024,Cultural identity
